year,award,movie,nominee,winner,actor_in_a_leading_role_nomination,actor_in_a_supporting_role_nomination,actress_in_a_leading_role_nomination,actress_in_a_supporting_role_nomination,directing_nomination,cinematography_nomination,year_film,year_film2,year_film3,tconst,primarytitle,startyear,runtimeminutes,averagerating,numvotes,directors,writers,director,nconst_x,birthyear,dir_age,nconst_y,is_woman,name,release_day,rating,metascore,budget,opening_wk,opening_usa_day,gross,world,release_month,release_day_of_month,winner_bool,biography,drama,comedy,adventure,film-noir,mystery,action,crime,horror,family,animation,western,documentary,romance,fantasy,thriller,war,history,music,sport,musical,sci-fi,cpi_multiplier,n_globes
1942,BEST PICTURE,Metro-Goldwyn-Mayer,Blossoms In The Dust,,0,0,1,0,0,0,1941,1940,1939,tt0033407,Blossoms In The Dust,1941.0,99.0,6.9,1594.0,nm0503777,"nm0002616,nm0924000,nm0124947,nm0949130",nm0503777,nm0503777,1900.0,42.0,nm0503777,0,Blossoms in the Dust,1941-08-15,Approved,,,,,,,8,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1943,BEST PICTURE,Metro-Goldwyn-Mayer,Random Harvest,,1,0,0,1,1,0,1942,1941,1940,tt0035238,Random Harvest,1942.0,126.0,8.0,6490.0,nm0503777,"nm0921995,nm0296207,nm0934497,nm0385264",nm0503777,nm0503777,1900.0,43.0,nm0503777,0,Random Harvest,1943-08-31,Passed,,18021983.431952666,,,,,8,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1944,BEST PICTURE,Metro-Goldwyn-Mayer,Madame Curie,,1,0,1,0,0,0,1943,1942,1941,tt0036126,Madame Curie,1943.0,124.0,7.2,2374.0,"nm0503777,nm0506797","nm0651585,nm0254690,nm0192694,nm0281556,nm0404717",nm0503777,nm0503777,1900.0,44.0,nm0503777,0,Madame Curie,1944-02-01,Not Rated,,,,,,,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,
1952,BEST PICTURE,"Sam Zimbalist, Producer",Quo Vadis,,0,1,0,0,0,0,1951,1950,1949,tt0043949,Quo Vadis,1951.0,171.0,7.2,12555.0,"nm0503777,nm0542649","nm0536941,nm0067103,nm0397022,nm0797197,nm0336682",nm0503777,nm0503777,1900.0,52.0,nm0503777,0,Quo Vadis,1951-12-25,Not Rated,,72407568.90566039,,,,963971.4729056605,12,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.49856603773585,
1942,BEST PICTURE,Mercury,Citizen Kane,,1,0,0,0,1,0,1941,1940,1939,tt0033467,Citizen Kane,1941.0,119.0,8.3,372145.0,nm0000080,"nm0542534,nm0000080,nm0002144,nm0219670,nm0448809",nm0000080,nm0000080,1915.0,27.0,nm0000080,0,Citizen Kane,1941-09-05,PG,100.0,13463016.727643315,,,25421853.847643316,25557698.164585993,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1942,BEST PICTURE,Columbia,Here Comes Mr. Jordan,,1,1,0,0,1,0,1941,1940,1939,tt0033712,Here Comes Mr. Jordan,1941.0,94.0,7.6,5473.0,nm0355284,"nm0118227,nm0589316,nm0781895",nm0355284,nm0355284,1894.0,48.0,nm0355284,0,Here Comes Mr. Jordan,1941-08-21,Not Rated,,,,,,,8,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1942,BEST PICTURE,Paramount,Hold Back The Dawn,,0,0,1,0,0,0,1941,1940,1939,tt0033722,Hold Back The Dawn,1941.0,116.0,7.4,1684.0,nm0500552,"nm0295786,nm0102818,nm0000697,nm0537363,nm0713781",nm0500552,nm0500552,1898.0,44.0,nm0500552,0,Hold Back the Dawn,1941-09-26,Not Rated,,,,,,,9,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1942,BEST PICTURE,20Th Century-Fox,How Green Was My Valley,1.0,0,1,0,1,1,0,1941,1940,1939,tt0033729,How Green Was My Valley,1941.0,118.0,7.7,19621.0,nm0000406,"nm0242897,nm0515751",nm0000406,nm0000406,1894.0,48.0,nm0000406,0,How Green Was My Valley,1942-04-09,Not Rated,,20040764.331210196,,,,,4,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1953,BEST PICTURE,"John Ford And Merian C. Cooper, Producers",The Quiet Man,,0,1,0,0,1,0,1952,1951,1950,tt0045061,The Quiet Man,1952.0,129.0,7.8,32439.0,nm0000406,"nm0637793,nm0909775,nm0000406",nm0000406,nm0000406,1894.0,59.0,nm0000406,0,The Quiet Man,1952-09-14,Passed,,,,,99833142.85714285,,9,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.462857142857143,2.0
1956,BEST PICTURE,"Leland Hayward, Producer",Mister Roberts,,0,1,0,0,0,0,1955,1954,1953,tt0048380,Mister Roberts,1955.0,123.0,7.7,14543.0,"nm0000406,nm0503777,nm0517597","nm0637793,nm0517597,nm0373764",nm0000406,nm0000406,1894.0,62.0,nm0000406,0,Mister Roberts,1955-07-30,Not Rated,,,,,199115462.6865672,,7,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.39223880597015,
